TARGET,cus_employername,profit_loss_after_cost,agrgrp_writeoff
0.0,Transport For London,-61.0,1.0
1.0,Newport City Council,224.0,
1.0,Ups,186.5,
0.0,Glasfryn Nursing Home,-181.0,1.0
0.0,Asda,-81.25,1.0
,La Roche,58.48,
0.0,Servisair Cargo,-159.25,1.0
1.0,Tata Steel,760.25,
1.0,Tesco,720.0,
0.0,Unipart Logistics,-171.0,1.0
1.0,Ubu,664.0,
0.0,John Lewis,-13.5,
0.0,Wilson James,-161.0,1.0
1.0,Swan Hotel,246.78,
0.0,Tesco,-146.0,1.0
0.0,Stocks Hall,-124.75,1.0
0.0,Arnold Clark,-21.0,1.0
1.0,Plumbase Ltd,891.5,
1.0,Nhs Fife,418.7,
1.0,Met Police,325.49,
,Bupa,60.38,1.0
1.0,Morrisions,437.22,
1.0,Blueprint Collections,832.0,1.0
0.0,Sainsburys,-144.75,1.0
0.0,Waitrose,-107.8,1.0
0.0,Santander,-46.0,1.0
1.0,Kuehne & Nagel,126.37,
,Bbc,31.72,1.0
,Southampton General Hospital,76.5,
1.0,Fresh Direct,226.25,
1.0,Royal Bank Of Scotland,1114.0,
0.0,Hm Forces,-236.0,1.0
0.0,Eurest Compass Group,-14.75,1.0
1.0,Bt,292.2,
,Ingenico Uk,39.0,
1.0,Virgin Atlantic Airways,123.01,
1.0,Group Four,140.0,1.0
0.0,Morrisons,-203.5,1.0
1.0,Hills Waste,344.0,
1.0,Hm Forces,921.5,
1.0,Kamino International Transport,125.0,
1.0,British Army,725.25,
1.0,Punch Taverns,134.0,
1.0,Sheffield Teaching Hospitals. Royal Hallamshire Hospital,137.7,
1.0,Dunelm Mill,245.74,
,Tata Steel,1.5,
0.0,Asda,-140.68,1.0
,Corus,94.0,1.0
,Leeds City Council,26.84,
,National Trust,21.8,1.0
1.0,Home Office,1224.4,
0.0,Streamline Bathrooms,-176.0,1.0
0.0,Care Watch,-18.5,1.0
0.0,Infotone Imaging Supplies Ltd,-81.0,1.0
0.0,Sainsbury,-153.5,1.0
,Smurfit Kappa,16.25,
1.0,Rochdale Mbc,917.07,
0.0,Premier Contracts,-129.75,1.0
,Southern Cross Healthcare,39.0,
1.0,Nhs Tazetta Suite Oleaster Unit,418.5,
0.0,Cafcass,-163.5,1.0
0.0,Customer Is Now Self Employed,-26.0,
1.0,Thistle Altens Hotel,123.17,
0.0,One Call Insurance,-308.5,1.0
0.0,Gordon Ramsay Holdings Ltd,-11.0,
0.0,Mawdsleys,-136.0,1.0
1.0,Northgate Plc,504.0,
0.0,Papa Joes,-151.0,1.0
0.0,Lbm Direct Marketing,-26.5,1.0
,Farmfoods,1.5,1.0
,Nhs Direct/Conduit,84.5,
1.0,N R Evans,151.0,
1.0,Savers Health & Beauty Ltd,281.5,1.0
0.0,Lochwynd Ltd,-81.0,1.0
1.0,Waitrose,264.0,
0.0,Norgine,-226.0,1.0
0.0,Nacro,-11.5,1.0
0.0,Choices Estate,-4.75,
,Evander Glazing & Locks,97.34,
,Quadranet Systems,38.38,
0.0,Hmp  Prison,-181.0,1.0
1.0,Ikea,190.25,
,S & U Plc,-1.0,1.0
1.0,Culina Logistics,145.85,
1.0,Royal Hospital For Neurodisability,1110.25,
,Army,14.0,
1.0,Greater Manchester Police,790.5,
,Concept It Ltd,94.0,1.0
1.0,Bgl Group,950.25,
1.0,Tesco,559.0,
0.0,R C T County Council,-161.0,1.0
1.0,Ifg Group,221.26,
1.0,Sodexo,1583.0,
1.0,Delux,1066.5,
0.0,Britsh Army,-193.5,1.0
1.0,Lancs Council,124.0,
1.0,Mod,661.5,1.0
0.0,Aak Uk Ltd,-161.0,1.0
0.0,Yell,-201.0,1.0
1.0,Fresh Direct,247.85,
1.0,Neath Port Talbot Cbc,892.75,
0.0,Baxter Storey,-141.0,
0.0,Esurv,-101.0,
,Gareloch Support Services,45.12,
1.0,Allied Bakeries Gateshead,640.74,
1.0,British Army,303.44,
0.0,Staffords Ltd,-233.5,1.0
1.0,Belfast Trust,878.0,
1.0,Morrisons,924.0,
0.0,G4s Secure Uk Ltd,-13.5,
1.0,South Eastern Health And Social Care Trust,815.62,
1.0,Royal Wolverhampton Hospital,107.75,
1.0,Broker Direct,348.5,
,Hm Forces,24.0,1.0
1.0,Total,285.0,
,Trimwise Health And Fitness,100.0,
1.0,Grosvenor Casino,137.7,
0.0,Redrow Homes,-111.0,
0.0,Nuffield Health,-211.0,1.0
0.0,Pic Oaktree Manor,-19.75,
1.0,Meggitt Aerospace Ltd,1036.5,
0.0,Be Wiser,-67.25,1.0
0.0,Asc Metals,-134.75,1.0
,Risedale Rest Home,40.0,
0.0,Tesco Extra,-186.0,1.0
,Quantum Care,1.5,
1.0,Sheffield Teaching Hospital,249.0,
1.0,Gsm Graphic Arts,1220.25,
,Haythorne Place Care Centre/Southern Cross Healthcare,92.5,1.0
0.0,Pearson,-32.5,1.0
1.0,Spire Healthcare - Spire Manchester Hospital,877.5,
,Autonet,11.25,1.0
0.0,Leeds Paper Recycling,-111.0,1.0
0.0,Scope,-41.0,1.0
0.0,Hm Forces,-281.5,1.0
0.0,Futures College,-132.25,1.0
1.0,Aspire,397.5,1.0
0.0,Eon Energy,-78.5,1.0
1.0,Harlow College,1783.39,
