TARGET,cus_employername,profit_loss_after_cost,agrgrp_writeoff
1.0,Bradford College,205.0,1.0
1.0,Spire Healthcare - Spirebushey Hospital,318.0,
0.0,Shield Security,-273.25,1.0
0.0,Galliford Try - Morrison Construction,-120.25,1.0
1.0,Royal Crescent Hotel,583.19,
0.0,Shell,-186.0,1.0
,Jamies Italian,39.25,
,Direct Health,65.75,1.0
0.0,Next Plc,-60.0,1.0
0.0,Aaron Paul Estates,-137.0,1.0
0.0,Home House,-65.375,1.0
0.0,Vipower Ltd,-176.0,1.0
1.0,"Rosenblatt, Solicitors",194.7,
0.0,Bskyb,-236.0,1.0
1.0,Lbm,254.25,
1.0,Gentoo,265.25,
1.0,Cargill,967.5,
,Inmind,26.2,
1.0,Iglu.Com,804.0,
0.0,Mitie Cleaning,-211.0,1.0
1.0,Homebase,746.0,
0.0,Greentree Enterprises,-186.0,1.0
0.0,Wincanton For Sainsbury,-186.0,1.0
0.0,Bybox,-39.62,1.0
1.0,Army,722.625,
1.0,Nhs - Royal Surrey County Hospital,1055.45,
0.0,Eurochange,-236.0,1.0
,Bettws Hall Farm,0.85,
1.0,Doncaster Laser,1269.68,
0.0,George Baker Ltd,-274.125,1.0
1.0,Toyota,465.75,
,British Army,90.07,
1.0,Nikon Optical Uk Ltd.,598.0,1.0
,Norbert Dentressangle,68.25,
1.0,Hm Forces,851.4,
0.0,Topshop,-227.4,1.0
0.0,Sainsburys,-186.0,1.0
0.0,O2 Uk,-276.75,1.0
0.0,Sainsburys,-102.25,1.0
0.0,Hotel Du Vin,-154.55,1.0
0.0,Tesco,-156.21,1.0
1.0,Thomas Cook,806.57,
1.0,Jy Auto Electrics,554.85,
0.0,Sainsburys,-6.5,
0.0,Group4security - Fresh Catch,-23.0,1.0
0.0,Queen Elizabeth House - Greensleeves,-6.75,1.0
0.0,Bt Plusnet,-201.0,1.0
,Scottish Borders Council - Eyemouth High School,71.87,
0.0,Yorkshire Water,-186.0,1.0
0.0,Avenue House Estate Trust,-141.75,1.0
1.0,Army,891.0,
1.0,Wolsleley Uk,340.125,
1.0,Bond Pearce Llp,467.0,
0.0,Sodexo Defence,-171.0,1.0
1.0,Kwik Fit,554.25,
,Army,44.25,
1.0,Npower Ltd,250.2,
1.0,Mccolls,118.14,
0.0,Alpine Fire Engineers,-132.325,1.0
0.0,B Braun Sterilog Ltd,-186.0,
1.0,Babcock Dyncorp,538.5,
1.0,Johnsons Cars,1560.71,
1.0,Soham Village College,259.0,
1.0,Wilberforce College,221.505,
1.0,Phones 4 U,908.75,
0.0,Kelly Communications,-111.85,1.0
1.0,Finning Uk Ltd,479.75,1.0
0.0,Hughbaird College,-141.75,1.0
0.0,Manchester Central,-120.6,1.0
,Royal Air Force,20.25,
1.0,Arthur Llewellyn Jenkins,390.5,1.0
1.0,Mod,724.1,
1.0,Scallywags,475.0,
0.0,Convergys,-105.08,
1.0,Spring Technology,570.25,
0.0,Harvester,-274.125,1.0
0.0,Hire Station,-14.125,
1.0,Pipe Centre - Wolseley,267.91,
1.0,Granada Material Handling,445.5,
0.0,Euro Aerials,-14.25,1.0
1.0,Dwp,1196.58,
,The Salvation Army,0.875,
0.0,Countess Of Chester,-171.0,1.0
0.0,Verdant,-133.5,1.0
,Medway Council,23.0,
,Bt,23.0,
,Hereford County Hospital,52.5,
0.0,Nissan,-141.125,1.0
0.0,Beachcroft,-186.0,1.0
,F Knowles,8.25,
,B And Q,82.0,
,Het Software,49.35,
,Geason,61.63,
0.0,7 Day Catering,-161.0,1.0
1.0,Chartwells,224.59,
1.0,Axa Ppp,879.0,
0.0,St Marys Care Home,-161.0,1.0
1.0,Motors.Co.Uk/'Associated Newspapers',347.75,
0.0,Eon,-186.0,1.0
0.0,Crescent Building Supplies,-6.5,
,Biffa,8.25,
1.0,Johnson Controls,771.49,
1.0,Birminghamcitycouncil,746.25,
1.0,Asda,120.6,
1.0,British Army,849.4,
1.0,The Coleshill School,280.05,
1.0,East Ham Care Centre,434.275,
0.0,Cfms,-292.0,1.0
1.0,Superdry At Selfridges,177.75,
0.0,Penn Pharma,-196.6,1.0
,Stonegate Pub Company/Mitchell And Butler,23.0,
,Ark Housing,51.13,
1.0,Hm Forces,155.75,
,Norec,82.25,
0.0,Vision Products,-136.0,1.0
0.0,Tesco,-205.5,
0.0,Royal Blind School,-64.0,1.0
0.0,North Bristol Nhs Trust,-67.5,
1.0,Royal Navy,393.0,1.0
0.0,Bsw Sawmills,-151.0,1.0
0.0,Nissan,-186.0,1.0
,Nsl,67.0,
0.0,Park Caledonia Associates,-151.42,1.0
0.0,Arnold Laver Timber World,-186.0,1.0
1.0,Securitas,142.36,
0.0,Bskyb,-6.75,
,Sandicliffe,69.95,
1.0,Suht - Southampton University Hospital,257.0,
1.0,Plas Y Brenin,348.5,
1.0,Lancashire County Council,465.5,
0.0,Boots,-136.0,1.0
0.0,Co-Op Pharmacy,-241.5,1.0
,Select Hardware,13.16,
1.0,Skanem,446.1,
,Topps Tiles,47.275,1.0
0.0,Armed Forces,-202.75,1.0
0.0,Kremlin Care,-126.0,
1.0,Caring In Care Ltd,465.75,
0.0,Dumfries Health Board,-177.0,1.0
1.0,Windsor,276.75,1.0
,Hogg Engineering,35.8,
1.0,Bangor University,147.6,1.0
1.0,Laser Uk,254.82,
1.0,Nhs - The Royal London Hospital,1602.75,
0.0,The Tudors,-161.0,1.0
1.0,Ministry Of Justice,334.5,1.0
1.0,Northumbrian Water Ltd,805.0,
1.0,Jewson Ltd,327.0,
0.0,Ceva,-276.75,1.0
1.0,Ruskin Air Management,192.365,
,Sandicliffe,52.5,
0.0,Iforce Limited,-48.31,
,Lyco Direct,51.63,
1.0,British Army,543.21,
1.0,Bny Mellon,285.75,
1.0,Westmill Foods,487.65,
1.0,Armed Forces,380.7,
1.0,Pd Port,687.0,
1.0,Nhs Lanarkshire Haremyers Hospital,610.52,
0.0,Yorkshire Ambulance Service,-153.15,1.0
,Lloyds Pharmacy,8.25,
0.0,Thus/Cable & Wireless,-186.0,1.0
0.0,Park Manor Hotel,-15.75,1.0
0.0,Clackmannanshire Council,-55.6,
1.0,Warner Bros,135.5,
,Holiday Inn,48.23,
1.0,Moundsley Care Home,124.17,1.0
1.0,Tisa Injection Moulding,495.75,
1.0,Simonstone,758.25,
1.0,Kingstown Furniture,1106.15,
,British Army,37.5,
,Durham County Council,3.825,
0.0,Anchor Trust,-131.57,1.0
,Glanbia Cheese Ltd,29.7,1.0
1.0,Bathwick Tyres,244.5,
1.0,On The Beach Holidays,408.75,
0.0,Ups,-25.44,
0.0,Headcount Worldwide Field Marketing,-161.0,1.0
0.0,Dhl,-90.75,1.0
1.0,Landscape Group,260.15,1.0
0.0,J Sainsburys,-46.0,1.0
0.0,Balmedie House,-160.04,1.0
1.0,Warmsure Ltd,544.75,1.0
,London Fancy Box,0.875,
0.0,Argos,-176.75,1.0
1.0,Optimum Links Ltd,351.0,1.0
0.0,Royal Mail,-136.0,1.0
1.0,Army - Yorkshire Regiment,185.5,
0.0,Connect Telecom,-143.62,1.0
0.0,The Bodyshop,-273.25,1.0
0.0,Sita Uk,-34.5,1.0
0.0,Argos,-6.5,
0.0,Crawley Borough Council,-223.0,1.0
0.0,Halfords,-196.0,1.0
,Jigsaw Solutions,82.45,
1.0,Uk Army,672.0,
1.0,Harrogate District Hospital,557.45,
1.0,Dtz Debenham Tie Leung,198.0,
0.0,Rocket Marketing Group,-266.0,1.0
1.0,Pet Care Trust,362.5,
0.0,Bupa - Alexandra Nursing Home,-114.75,1.0
1.0,Marine Diesel Services Ltd,244.75,
1.0,The British Army,1160.0,
0.0,Nhs St Catherines Hopsital,-121.5,1.0
0.0,Confetti Studios,-156.0,1.0
0.0,Park Plaza Westminister Bridge,-226.75,1.0
1.0,Unite,147.75,
1.0,Portsmouth Nhs Trust Qeen Alexandria Hospital,484.0,
0.0,Bp,-177.0,1.0
1.0,Lastminute.Com,404.8,
0.0,Kent Fire And Rescue,-134.7,1.0
,Infosys,94.82,
0.0,Bensons Beds,-276.75,1.0
1.0,Sovereign Kingfisher,313.54,
1.0,Royal Navy,917.825,
0.0,Leaders In Oncology Care,-186.0,1.0
1.0,Nissan,933.05,
1.0,Access Community Services,178.25,
0.0,De La Rue Ltd,-133.5,
1.0,Teleperformance Ltd,228.73,
1.0,Hmrc,814.6,
0.0,Alpha Care - Waters Edge Nursing Home,-186.0,1.0
0.0,Chambers Waste Managament,-291.75,1.0
1.0,Kelway,788.3,
0.0,West Sussex County Council,-6.5,
1.0,Access Hire And Finance Limited,590.6,
1.0,Clatterbridge Centre For Oncology,422.58,
1.0,Planet Bedrooms Bathroom And Kitchens,641.25,
1.0,Dundee City Council,1076.55,
,Murnin Mccluskey,42.31,
0.0,Boots,-87.25,1.0
1.0,Phones4u,302.25,
1.0,Punch Pubs - Spread Eagle Hotel,191.5,1.0
1.0,Yell,216.225,
1.0,First Centerwest,139.75,1.0
1.0,Asda Stores Limited,980.25,
,Premier Foods-Rf Brookes Ltd,8.25,
0.0,Nsl Services Ltd,-94.37,
1.0,Dfs,155.15,
1.0,Armed Forces,737.6,
,Northgate Vehicle Hire,81.675,1.0
,Army,57.755,
0.0,Utility Wise,-151.0,1.0
1.0,British Army,361.0,
,Dewsbury And District Hospital,75.0,1.0
1.0,Lee Baron Limited,754.59,
0.0,Travel Counsellors,-36.0,1.0
1.0,Army,183.0,
,Currys,72.4,
0.0,Home From Home Care,-186.0,1.0
1.0,Dental Care Centre,531.9,1.0
0.0,Coral,-186.0,1.0
0.0,Selection Services,-226.75,1.0
1.0,Royal Air Force,244.5,
1.0,Ernst & Young,168.05,
1.0,Holiday Inn Group,688.5,
,Bracknell Council,37.5,
0.0,Mitchell & Bulter,-77.23,1.0
0.0,Lanes For Drains,-236.0,1.0
1.0,Regus,207.875,
0.0,Ceva Logistics,-294.375,1.0
0.0,Virtue Fusion,-186.0,1.0
1.0,Tnt Express,472.0,
,Sainsburys,51.4,1.0
1.0,Stockbridge Village Health Centre,282.87,1.0
1.0,Ramsdens Superstore,661.4,
1.0,Rembrand Timber Ltd,110.45,
0.0,Eon,-186.0,1.0
1.0,Asda Stores Ltd,642.75,
0.0,Singleton Hospital,-147.4,1.0
1.0,Wm Morrisons,111.75,
,Capgemini,53.98,
1.0,British Army,128.7,1.0
0.0,Kwik Fit Insurance,-51.545,
0.0,Connect Housing,-81.75,1.0
0.0,Henbrendt,-201.0,1.0
1.0,Babcock 4S,320.175,
1.0,Hm Forces,185.75,
,Careers Development Group,15.625,
0.0,B&M,-176.0,1.0
1.0,British Airways Plc,308.75,1.0
0.0,Trafford General Hospital,-273.25,1.0
1.0,A J Woods Engineering,955.59,
1.0,Guoman Hotel The Tower,1041.75,
0.0,Isd,-156.75,1.0
0.0,Euro Car Parts,-201.0,1.0
,Waitrose,37.13,
0.0,Cre8tiva,-186.0,1.0
1.0,Royal Bournemouth Hospital,700.0,
1.0,The Pension Service,387.0,
1.0,Spie Matthew Hall,163.1,
1.0,Genesis Housing Association,621.85,1.0
0.0,Ibwest,-186.0,1.0
1.0,Talktalk Business,561.25,
0.0,Lynx Security,-54.86,1.0
0.0,Nitrotek,-201.0,1.0
,Jade Furnishers Ltd,76.155,
0.0,Npower,-146.0,1.0
1.0,Vodafone,427.3,
,British Army,67.25,
1.0,Sainsburys,342.75,1.0
,Becogent,90.07,
1.0,Cls Care Homes - Golbourne House,539.5,
,Armed Forces,12.675,
0.0,Shell,-261.0,1.0
0.0,Creagh Concrete,-166.0,1.0
1.0,Flight Support Services,268.85,
1.0,The New Brewery Lane Surgery,264.17,
1.0,Royal Navy,224.25,1.0
1.0,Wakefield Council,173.55,
1.0,Soughton Hall Hotel,414.1,
1.0,"1Rgr,D Coy/Army",388.25,
1.0,Bakkavor,344.95,
,Percision Polymer Engineering,4.5,1.0
0.0,St Lukes Healthcare,-40.75,1.0
,Interlink Express,35.25,1.0
0.0,Green Source Solutions,-53.25,1.0
0.0,Carillion,-186.0,1.0
,Royal Mail,50.0,
1.0,Hm Forces,767.25,
1.0,Central Heating Systems,18.0,
1.0,Merseycare Nhs,408.75,
,Tesco,69.0,1.0
0.0,B&M Retail,-241.5,1.0
1.0,Forest Place Nursing Home,363.25,
1.0,Mastercard Uk,497.95,
,Timpson Ltd,73.75,
,Funtime Hire Limited,53.1,
0.0,Royal Mail,-26.32,1.0
0.0,Magenta Care,-186.0,1.0
0.0,Asda,-6.75,1.0
0.0,Sodexo,-106.0,1.0
1.0,Nhs Tayside,229.5,
0.0,Workspace Relocation,-161.0,1.0
,Sainsbury's Supermarket Ltd,8.25,
,Chartis,56.75,1.0
1.0,Scottish Power,428.59,
1.0,Bromley Youth Offending Team,219.75,
0.0,Dairy Crest,-126.0,1.0
1.0,Hm Forces,428.25,
0.0,Gsl Dradan,-100.425,1.0
1.0,Lookers,515.135,
0.0,Arrow Cleaning & Hygiene Solutions,-18.15,1.0
1.0,Blackpool Borough Council - Bispham High School,420.25,
1.0,Mint Casino,458.0,
1.0,Salads To Go,209.005,
0.0,Aquaterra Solutions Ltd,-151.0,1.0
1.0,Hero Tsc,818.86,
0.0,M R C T Ltd,-186.0,1.0
0.0,Halfords,-62.0,1.0
0.0,Avocet Trust,-241.5,1.0
0.0,N.E. Lincs County Council,-117.0,1.0
,Unitrans,65.75,1.0
1.0,Intercontinental Hotels Group,199.0,1.0
0.0,Dhl,-151.5,1.0
0.0,Sainsbury,-31.0,1.0
0.0,Tnt,-312.0,
1.0,Manchester United,144.8,
,Infusion Gb,64.6,
1.0,Bkw Instruments,162.5,
,Stena Drilling,8.25,
,Walker Technical,-0.6,
0.0,Hinchingbrooke Hospital,-21.5,
1.0,Birmingham City Council,322.455,1.0
0.0,Hm Force,-6.5,
1.0,Thomas Cook,647.8,
1.0,Market Town Taverns - Bar T'at,222.375,
1.0,Mclean Buchanan And Wilson,188.075,
1.0,University Of Sheffield,244.75,
0.0,Staffordshire County Council,-6.5,
0.0,Deloitte Llp,-156.75,1.0
,British Army,19.3,1.0
0.0,Yorlinc,-169.0,1.0
1.0,Order Of St John Care Trust,119.485,1.0
1.0,North Ireland Community Improvement Partnership,400.845,
1.0,Ats Euromaster,789.0,
0.0,Dpd Parcelline,-161.0,1.0
,Sainsburys,36.06,
1.0,Northgatearinso,118.0,
0.0,Chesterfield College,-81.75,1.0
,Nics,23.0,
,Ford Motor Company,64.5,
1.0,British Telecom,834.01,
0.0,Rj Edwards,-186.0,1.0
0.0,Argos,-119.875,1.0
1.0,Nhs,813.6,
0.0,Tesco,-312.0,1.0
0.0,Clipper Logistics Group Ltd,-76.875,1.0
1.0,Lewisham Hospital,1013.65,
1.0,Concept Bathrooms,512.31,
0.0,Tesco,-236.0,1.0
0.0,Lucknam Park Hotels Ltd,-166.75,1.0
1.0,Tudor,747.41,
,Diageo,59.0,
1.0,St Andrews University,1494.875,
1.0,British Army,569.5,
0.0,Cca International,-135.65,1.0
,Jessops,24.63,
1.0,Pulse Umbrella,575.5,1.0
1.0,Rivo Software Limited,200.0,
1.0,Sutton Court Care Centre,417.75,
0.0,Birmingham City Council,-186.0,1.0
1.0,Lloyds Pharmacy,583.5,
,Obmh Nhs Trust,15.625,
0.0,Ecolutia Services,-184.75,1.0
1.0,Kelly Communications/Virgin Media,142.89,
0.0,Marks And Spencer,-110.65,1.0
1.0,May Gurney,466.9,
0.0,Jd Wetherspoons - Cherrytree,-46.9,1.0
1.0,Ventura Uk,118.25,
1.0,Parr Care Home,607.325,
1.0,Highbury College,213.5,
1.0,Wish Communications,1287.0,
0.0,Clarks Shoes,-108.05,
0.0,Avenir Telecom,-161.0,1.0
1.0,Nhs,110.25,
0.0,A2 Dominion,-248.75,
0.0,Dunbia,-71.5,1.0
1.0,Network Maintenance Engineers,773.75,
,Inspirepac,14.875,1.0
1.0,Hobsons Choice - Punch Pubs,974.01,
0.0,Xln Telecom,-136.0,1.0
0.0,Seacon Europe,-186.0,1.0
,Kinetics Group,21.0,
,Itsd,5.3,
0.0,Jd Wetherspoons - The Sandpiper,-88.505,1.0
1.0,Interserve Macllellan,108.9,1.0
1.0,Pinder Ltd,116.65,
0.0,Etv Media Group,-201.0,1.0
,Armed Forces,8.25,
0.0,Northern Ireland Housing Executive,-114.5,
0.0,Carillion Plc,-33.58,
0.0,Mymall Online,-206.75,1.0
1.0,South Lanarkshire Council,858.75,
1.0,Imc (Uk) Learning Ltd,921.12,
0.0,The Priory,-71.385,
1.0,Comet Plc,259.5,
1.0,Progressive Property,404.0,
,Little Chef,8.25,
1.0,Inspired Gaming Group,929.89,
,Novotel,51.51,
1.0,Ow Hospitality,848.5,
0.0,Tarmac,-226.0,1.0
,Northamptonshire Healthcare Foundation Nhs Trust,62.125,1.0
0.0,First Call Diamond Drilling,-46.0,1.0
1.0,Oris Limited,353.68,
0.0,Tesco,-201.0,1.0
0.0,Petsathome,-241.5,1.0
1.0,Domus Healthcare,157.94,
0.0,Notaro Care Homes Ltd,-176.0,1.0
1.0,Home Delivery Network,349.91,
0.0,Bdm Solutions,-102.25,1.0
1.0,Warren James Jewe,286.285,
1.0,Direct Health Goup,318.25,
1.0,Camping & Caravanning Club,159.55,
1.0,Ventura,760.9,
0.0,Deepclean Hygiene Solutions,-288.25,1.0
0.0,Locker Room Media,-6.75,
0.0,Kelway,-186.0,1.0
1.0,Caprock Communications,861.05,
1.0,The Duke Of Cornwall Hotel,318.745,1.0
1.0,Andrew Louis,842.125,
,Homebase,34.0,
0.0,Devon County Council - Stokenham Primary School,-211.0,1.0
0.0,Neu Era Marketing,-186.0,1.0
1.0,Asda,548.75,
1.0,Asda Stores,200.75,
1.0,Royal Air Force,776.75,
0.0,Itab Uk,-146.75,1.0
0.0,Taskmaster,-61.75,1.0
0.0,Compass Group,-176.75,1.0
0.0,Express Kitchens,-186.0,1.0
1.0,Roc Uk,176.15,1.0
1.0,Hollywood Monster Ltd,142.955,
,University Of Cambridge,96.75,
0.0,Card Factory,-66.75,1.0
0.0,Morrisons,-125.35,1.0
0.0,Rpc Commercials,-186.0,1.0
1.0,B And Q,141.0,
,St Hugh Of Lincoln Primary School,73.75,
1.0,Milbury Care Services,103.0,
0.0,Angels Community Services,-44.6,1.0
1.0,Southwest Trains,500.34,
0.0,Worcestershire Hospitals,-273.225,1.0
,Ats Euromaster,58.25,
1.0,Dwp,105.325,
0.0,Wordsworth House,-161.0,1.0
0.0,Asda,-99.75,1.0
1.0,Coral Racing,628.47,
0.0,Npower,-186.0,1.0
1.0,North Star Shipping Ltd,450.5,
,Tesco,8.25,
1.0,Golden Jubilee National Hospital,229.5,
,Hm Forces,64.5,
0.0,Sainsbury,-70.5,1.0
0.0,Co-Operative Motors,-196.0,1.0
0.0,Claims Advisory Group,-15.75,1.0
,Sainsbury,95.75,
1.0,Mattressman Ltd,195.0,
1.0,Firecheck,226.95,
0.0,Wren Kitchens,-186.0,1.0
0.0,Nhs Royal Victoria Infamay,-77.0,1.0
0.0,Easycare,-126.0,1.0
0.0,The Raikes Residential Home,-186.0,1.0
0.0,Ventura Outsourcing Experts,-121.5,1.0
1.0,Bae Systems,417.575,
1.0,Ideal Kit,1219.75,
0.0,Army,-256.5,1.0
1.0,G4s,554.675,
0.0,Emc Advisory Services,-251.0,1.0
1.0,Professional Linen Services,118.0,
,Kettle Produce Ltd,8.25,
0.0,Card Factory,-176.0,1.0
,Boots,67.0,
1.0,Department Of Work & Pensions,300.8,
0.0,Mid Counties Cooperative,-111.0,1.0
,Dreams,50.875,
1.0,Shepherds Bush Housing,687.25,
,Nhs - Primary Care Trust Blackpool,8.25,
1.0,The Hut,653.09,
1.0,Howden Joinery,228.12,
,Barcelo Marine Troon,20.66,
0.0,The Hesley Group,-81.0,1.0
,National Car Rental,88.5,
0.0,Orchid Group,-136.0,1.0
0.0,Lbm,-251.125,1.0
1.0,Office Depot,646.02,
1.0,Gouman Hotels,471.27,
1.0,Tayside Healthcare Trust - Murray Royal Hospital,1099.75,
1.0,Army,303.75,
,Nhs Fife,53.1,
1.0,O2,205.4,
,Chevron Traffic Management,79.05,
1.0,Marks And Spencer,582.75,
1.0,Everything Everywhere ( Tmobile),115.64,
,Marks And Spencers,69.6,
,Stratstone,18.3,1.0
1.0,Army,945.05,
,Talent Resourcing Ltd/ Calder,5.88,1.0
0.0,Willmott Dixon Construction,-151.0,1.0
0.0,Stonegate,-86.0,1.0
0.0,Birmingham City Council- St. John School,-146.0,1.0
1.0,Edinburgh Council,610.55,
1.0,Sainsburys,763.25,
1.0,Dsr - Deverell Smith Recruitment,951.75,
1.0,Carl Kammerling International,468.38,
1.0,Eldon Insurance Services Ltd,215.25,
0.0,Lbm,-23.0,1.0
1.0,Nhs/Ninewells Hospital,283.11,
0.0,Hm Forces,-29.6,
0.0,Dreams,-171.46,
0.0,Lancashire County Council,-276.75,1.0
0.0,Unipres,-186.0,1.0
0.0,Hm Forces,-141.0,1.0
0.0,Pure Drive Fine Foods,-186.0,1.0
0.0,Armed Forces,-105.5,1.0
1.0,Zurich Financial Services,916.625,
1.0,Department Of Work And Pension,1351.25,
1.0,Nopalaver Ltd,121.5,
1.0,Voyage,111.75,
0.0,Bon Marche,-186.0,1.0
1.0,Costco Wholesale,157.375,
1.0,Dwp,270.63,1.0
0.0,Groupa Konecta,-236.0,1.0
1.0,Marriott Hotel,1189.75,
,Hillbrook Printing Inks,38.0,
1.0,Asda,1365.75,
1.0,Scottish Gas,259.08,
1.0,Bsi,223.8,
1.0,Next,160.675,
1.0,Siemens,528.84,
1.0,St Andrews Healthcare,643.75,
1.0,Halifax - Hbos,162.1,
1.0,Orchid,269.875,
1.0,H&M,186.0,
1.0,Carter Retail Equipment,574.05,
0.0,St Merryn Meat Vion,-174.5,1.0
0.0,Addleshaw Goddard,-8.0,1.0
0.0,Denso,-186.0,1.0
0.0,Vista Panels,-151.0,1.0
0.0,Lsl Property Services,-161.0,1.0
1.0,Hm Forces,391.75,1.0
1.0,Asda,235.28,
1.0,Zara,673.0,
0.0,City Link,-6.5,
0.0,Kerry Foods,-136.0,1.0
,Wolverhampton City Council,62.5,1.0
1.0,Amsphere Limited,894.5,
0.0,Hm Prison Service,-201.0,1.0
1.0,Kings College Hospital,434.25,1.0
0.0,Interior Goods Direct,-53.25,1.0
1.0,Antalis Uk Ld,982.75,
,Arrow Communications,28.25,
,Chemwaste Ltd,94.5,1.0
1.0,Tesco,809.25,
0.0,Stapleton Tyres,-6.75,
1.0,Vitafoam,125.5,1.0
1.0,Sandton Ltd,288.665,
,Knight Frank,0.875,
0.0,Hm Forces,-6.5,
0.0,Cityparks Technology,-186.0,1.0
1.0,Waldon Ltd,434.75,
0.0,Tesco,-38.25,1.0
,Sodexo,25.2,
0.0,City Facilities Asda,-188.25,1.0
1.0,Dwp,250.7,
,Marlborough Perfumery,88.31,
1.0,Salesmark,177.0,
,Army,68.37,
1.0,Ws Atkins Plc,356.85,
1.0,Yas Nhs Trust,1263.75,
0.0,Nhs - Medway Maritime Hospital,-186.0,1.0
0.0,Shoe Zone Limited,-188.25,1.0
0.0,Asda Stores Ltd,-53.25,1.0
0.0,Deprtment Of Work And Pensions,-158.68,
0.0,Centrica,-121.0,1.0
0.0,Asda,-126.0,1.0
1.0,Freightliner Ltd,934.25,
,Aviva,67.5,
1.0,Independant Child Care,549.85,
0.0,Civil Service,-19.8,1.0
1.0,Department For Work And Pen,129.26,
0.0,Co-Op,-186.0,1.0
0.0,Sts Resource Ltd,-181.0,1.0
0.0,Marks And Spencer,-2.89,
0.0,Sainsburys,-186.0,1.0
1.0,Owh Creative,268.3,
0.0,G Pearce Construction Ltd,-176.0,1.0
0.0,Dawson Group,-78.5,
,Frutina,45.975,1.0
0.0,Hm Forces ( Army ),-161.0,1.0
0.0,Royal Mail,-6.5,
1.0,Compass Group/Deli Bar,487.625,
1.0,1Rrf,233.2,1.0
1.0,Nhs Highland - Raigmore Hospital,185.86,
1.0,Matchday Centres,439.8,
0.0,Barrhead Travel,-186.0,1.0
0.0,Broomhayes School,-63.0,1.0
0.0,Birmingham City University,-66.0,1.0
,Tesco,36.44,
0.0,Nhs Tayside,-131.175,1.0
0.0,Bocm Pauls,-166.0,1.0
,Midlothian Council,52.17,
0.0,Co-Op Funeral Care,-116.0,1.0
0.0,Whittington Hospital,-191.0,1.0
0.0,Post Office,-37.23,
,Next,18.7,
1.0,Pizza Express,1442.98,
1.0,Mid Essex Hospitals,780.81,
,National Health Service,26.75,
1.0,Ault Insurance,520.835,
1.0,Royal Blackburn Hospital,404.375,
0.0,Asda,-214.0,1.0
0.0,Tesco,-107.05,1.0
1.0,Nhs,213.75,
1.0,247 Security Solutions/Stanford Homes,623.5,
1.0,Delos Community,587.39,
0.0,Smith And Williamson,-40.82,
0.0,Whitbread,-102.28,1.0
0.0,Chesapeake,-186.0,1.0
1.0,Merseyside Fire Service,561.375,
0.0,Romolos,-123.04,1.0
,Nhs,71.0,1.0
1.0,Sovereign Recovery,207.53,
1.0,Cofely,237.98,
0.0,Ukmail,-14.5,1.0
0.0,Avenance,-141.75,1.0
1.0,Army,200.25,
0.0,M&L Specialists,-152.325,1.0
1.0,Network Research,106.84,
,Asda,24.35,
0.0,City Link And City Fercilities,-201.0,1.0
,Dreams Plc,0.875,
0.0,B&M Bargains,-186.0,1.0
1.0,Edmundson Electrical,591.975,
,Westbridge Furniture,8.25,
,Ministry Of Defence,46.0,1.0
0.0,Lewisham Homes,-173.25,1.0
,Nisbets,44.25,
,British Army,23.0,
1.0,Balfour Beatty,122.025,
1.0,Allen And Heath Ltd,493.25,
0.0,Tesco,-51.5,1.0
1.0,British Army,184.25,
1.0,Crydon Health Service Nhs,1291.5,
0.0,The Fuel Card Co,-203.51,1.0
,Minstrey Of Defence,23.0,
,Hm Forces,52.5,
0.0,Fedex Uk,-186.0,1.0
0.0,Lsg Skychefs,-47.75,1.0
,British Army,30.38,
,Tesco Express,-0.6,
,H M Forces,52.16,
1.0,Fullness Ingelfield Middle,706.9,
0.0,Coperative Logistics,-131.85,1.0
1.0,Eurest Catering,333.75,
1.0,British Army,691.1,
1.0,Sbe Ltd,114.88,
,James Lever,17.5,1.0
1.0,Asda,889.58,
0.0,Morrisons,-258.5,1.0
1.0,Princecroft Willis,230.57,
0.0,Desborough Hotel Group - Anchor Hotel,-6.5,
0.0,Hm Prison Service,-11.25,
0.0,J Sainsburys,-186.0,1.0
0.0,Co-Operative,-186.0,1.0
0.0,Hmp Wandsworth,-136.0,1.0
,Llewellyn Ryland,81.25,
0.0,Heronsgate School,-164.1,1.0
0.0,Asda,-136.0,1.0
,Phoenix It.,52.75,
,Carillion,63.21,
0.0,Coral Racing,-186.0,1.0
0.0,Danwood,-155.25,1.0
0.0,Dkny,-6.5,
0.0,Ategi,-118.0,
0.0,Army,-36.0,1.0
1.0,St Peter's Hospital,148.52,
1.0,Hmrc,147.75,
1.0,Minerva Facilities Ltd,265.85,1.0
0.0,Ne Express Ltd,-141.75,1.0
1.0,Kingsdale Foundation School,551.25,
,Rosecourt,90.05,1.0
0.0,Great Bear,-186.0,1.0
,Newham Council,87.9,
1.0,Ricoh,217.105,
1.0,Mini Club/Boots,432.6,
,Lifeways Community Care,63.11,
0.0,Goodman Masson,-191.0,1.0
0.0,Pelion Care Home,-221.0,1.0
,G-A-Y Group,8.25,
,Ballyrobert Vauxhall,35.25,1.0
,Stockport Mbc,56.54,
,Bollington Brokers,92.325,
,Liverpool Mutual Homes,99.05,1.0
0.0,Premier Inn,-161.0,1.0
1.0,Marks And Spencer,215.25,
1.0,Orchid Group,223.02,
,Hm Forces,8.25,
0.0,King Securty,-276.75,1.0
1.0,Hm Forces,208.45,1.0
1.0,Select Service Partner,179.73,
1.0,Stanton Grove,195.25,1.0
